Stop1,Stop2,Distance
1037,1038,1.87260701
1038,1039,0.944101005
1039,1040,1.339161829
1040,1041,0.901057887
1041,1042,1.312630806
1042,1043,2.519699173
1043,1044,0.941618741
1044,1045,0.602161916
1045,1046,1.804538016
1046,1047,1.153534999
1047,1048,0.769899492
1048,1049,1.254725568
1049,1050,0.970112708
1050,1051,0.188127635
1051,1052,0.525496646
1052,1053,0.66429371
1053,1054,1.109251767
1054,1055,4.54603696
1055,1056,0.71131864
1056,1057,0.513062952
1057,1058,0.695005305
1058,1059,0.770365826
1059,1060,0.86841881
1060,1061,1.341419265
1061,1062,0.548772716
1062,1063,0.115765927
1063,1064,0.398735176
1064,1065,0.714466612
1065,1066,1.20585654
1066,1067,0.32778086
1067,1068,0.642518804
1068,1069,0.333621211
1069,1070,0.920553431
1070,1071,0.69380423
