Vehicle_No,Date,Time,Location,Lat,Lng,Speed,Vehicle_Status,GPS,Distance-KM,Vehicle_Batt.-V,Route
BJA8742,1/12/2018,3:41:09 PM,"24, Jalan Pinang, Taman Kota Kulai, Kulai, Johor",1.6683142,103.579473,50,Ignition on; Moving; ,GOOD,0.34,27.33,0
BJA8742,1/12/2018,3:42:10 PM,"58, Jalan Pinang, Taman Kota Kulai, Kulai, Johor",1.6686055,103.5817089,0,Ignition on; Idling; ,GOOD,0.23,27.33,0
BJA8742,1/12/2018,3:43:10 PM,"2, Jalan Pelanduk, Taman Pertama, Kulai, Johor",1.6693069,103.585454,50,Ignition on; Moving; ,GOOD,0.33,27.2,0
BJA8742,1/12/2018,3:45:11 PM,"5, Jalan Susur Kulai 4, Taman Kulai Utama, Kulai, Johor",1.6658448,103.5927015,50,Ignition on; Moving; ,GOOD,0.95,26.68,0
BJA8742,1/12/2018,3:46:11 PM,"64, Jalan Bunga Raya, Kulai, Kulai, Johor",1.6656974,103.588568,44.45,Ignition on; Moving; ,GOOD,0.98,27.2,0
BJA8742,1/12/2018,3:47:11 PM,"PTB 1306 & PTB 1307, Jalan Tun Mutahir 1,Jalan Besar, Kulai, Johor,",1.6611634,103.6036642,9.26,Ignition on; Moving; ,GOOD,0.36,27.2,0
BJA8742,1/12/2018,3:48:11 PM,"Jalan Besar, Taman Mewah, Kulai, Johor",1.6617842,103.6020086,16.67,Ignition on; Moving; ,GOOD,0.13,27.46,1
BJA8742,1/12/2018,3:49:12 PM,"193 & 195, Batu 19, Kulai Besar, Kulai,, Kulai, Johor,",1.655537,103.609174,42.6,Ignition on; Moving; ,GOOD,0.72,26.94,1
BJA8742,1/12/2018,3:50:12 PM,"19, Jalan Besar, Taman Kulai Besar, Kulai, Johor",1.653165,103.6097602,0,Ignition on; Idling; ,GOOD,0.29,27.33,1
BJA8742,1/12/2018,3:51:12 PM,"No. 10, Jalan Susur Kulai 2, Taman Kulai Kulai Besar, Kulai,, Kulai, Johor,",1.6497348,103.6118347,29.63,Ignition on; Moving; ,GOOD,0.44,27.46,1
BJA8742,1/12/2018,3:52:12 PM,"685, Jalan Susur Kulai 1, Taman Sri Kulai Baru, Kulai, Johor",1.6455138,103.616438,40.74,Ignition on; Moving; ,GOOD,0.67,26.81,1
BJA8742,1/12/2018,3:53:13 PM,"799, Jalan Susur Kulai 1, Taman Sri Kulai Baru, Kulai, Johor",1.6436727,103.6198503,53.71,Ignition on; Moving; ,GOOD,0.5,27.2,1
BJA8742,1/12/2018,3:54:13 PM,"9, Jalan Sri Putra 1, Bandar Putra Kulai, Kulai,, Kulai, Johor,",1.6399329,103.624771,0,Ignition on; Idling; ,GOOD,0.68,27.2,1
BJA8742,1/12/2018,3:55:13 PM,"TJ Mart, 5035, Jalan Air Hitam, Saleng, Batu 17 1/2,, Senai, Johor",1.6667574,103.5881173,51.86,Ignition on; Moving; ,GOOD,0.58,27.33,1
BJA8742,1/12/2018,3:56:13 PM,"1, Kulai, Johor",1.6627898,103.5996619,14.82,Ignition on; Moving; ,GOOD,0.59,27.2,1
