Date,Day,Time_A,BS_A,Lat_A,Lng_A,Time_B,BS_B,Lat_B,Lng_B,Duration(h),Route
1/12/2018,Saturday,9:08:00 AM,1000,1.66246,103.59877,9:19:01 AM,1004,1.64889,103.61284,0.1836111111111111,1
1/12/2018,Saturday,9:19:01 AM,1004,1.64889,103.61284,9:21:01 AM,1006,1.63933,103.62515,0.03333333333333333,1
1/12/2018,Saturday,9:21:01 AM,1006,1.63933,103.62515,9:34:03 AM,1012,1.60172,103.64516,0.21722222222222223,1
1/12/2018,Saturday,9:34:03 AM,1012,1.60172,103.64516,9:37:03 AM,1018,1.54344,103.65812,0.05,1
1/12/2018,Saturday,9:37:03 AM,1018,1.54344,103.65812,9:38:03 AM,1019,1.54127,103.65929,0.016666666666666666,1
1/12/2018,Saturday,9:38:03 AM,1019,1.54127,103.65929,9:39:03 AM,1020,1.53511,103.66506,0.016666666666666666,1
1/12/2018,Saturday,9:39:03 AM,1020,1.53511,103.66506,9:40:03 AM,1021,1.5284,103.67051,0.016666666666666666,1
1/12/2018,Saturday,9:40:03 AM,1021,1.5284,103.67051,9:42:03 AM,1022,1.52329,103.67911,0.03333333333333333,1
1/12/2018,Saturday,9:42:03 AM,1022,1.52329,103.67911,10:30:02 AM,1036,1.46264,103.76566,0.3325,1
1/12/2018,Saturday,10:30:02 AM,1037,1.46264,103.76566,10:38:03 AM,1042,1.47246,103.72525,0.13361111111111112,2
1/12/2018,Saturday,10:38:03 AM,1042,1.47246,103.72525,10:43:03 AM,1046,1.50953,103.68829,0.08333333333333333,2
1/12/2018,Saturday,10:43:03 AM,1046,1.50953,103.68829,10:50:04 AM,1051,1.53757,103.66255,0.11694444444444445,2
1/12/2018,Saturday,10:50:04 AM,1051,1.53757,103.66255,10:54:04 AM,1053,1.5448,103.65738,0.06666666666666667,2
1/12/2018,Saturday,10:54:04 AM,1053,1.5448,103.65738,11:01:00 AM,1057,1.60168,103.64505,0.11555555555555555,2
1/12/2018,Saturday,11:01:00 AM,1057,1.60168,103.64505,11:02:00 AM,1059,1.61455,103.64708,0.016666666666666666,2
1/12/2018,Saturday,11:02:00 AM,1059,1.61455,103.64708,11:04:00 AM,1061,1.62884,103.6377,0.03333333333333333,2
1/12/2018,Saturday,11:04:00 AM,1061,1.62884,103.6377,11:05:00 AM,1062,1.63145,103.63483,0.016666666666666666,2
1/12/2018,Saturday,11:05:00 AM,1062,1.63145,103.63483,11:40:03 AM,1071,1.66299,103.5993,0.3169444444444444,2
1/12/2018,Saturday,11:40:03 AM,1000,1.66299,103.5993,11:43:03 AM,1002,1.65305,103.61006,0.05,1
