Date,Day,Time_A,BS_A,Lat_A,Lng_A,Time_B,BS_B,Lat_B,Lng_B,Duration(h),Route,Distance,Bus_Distance,Speed,Actual_Duration,time_bin
1/12/2018,Saturday,9:08:00 AM,1000,1.66246,103.59877,09:10:46 AM,1001,-,-,0.1836111111111111,1,2.2937377869555644,0.579288937,12.492369187655116,0.04637142309022133,7
1/12/2018,Saturday,09:10:46 AM,1001,-,-,09:16:09 AM,1002,-,-,0.1836111111111111,1,2.2937377869555644,1.121594794,12.492369187655116,0.08978239252713995,7
1/12/2018,Saturday,09:16:09 AM,1002,-,-,09:18:06 AM,1003,-,-,0.1836111111111111,1,2.2937377869555644,0.409417722,12.492369187655116,0.03277342478835673,7
1/12/2018,Saturday,09:18:06 AM,1003,-,-,9:19:01 AM,1004,1.64889,103.61284,0.1836111111111111,1,2.2937377869555644,0.353152683,12.492369187655116,0.028269472162973167,7
1/12/2018,Saturday,9:19:01 AM,1004,1.64889,103.61284,09:19:36 AM,1005,-,-,0.03333333333333333,1,1.6358320888848807,0.489215255,49.074962666546426,0.009968734124651506,8
1/12/2018,Saturday,09:19:36 AM,1005,-,-,9:21:01 AM,1006,1.63933,103.62515,0.03333333333333333,1,1.6358320888848807,1.074354404,49.074962666546426,0.021892108432155145,8
1/12/2018,Saturday,9:21:01 AM,1006,1.63933,103.62515,09:22:50 AM,1007,-,-,0.21722222222222223,1,5.337930647420762,0.746998489,24.57359377329251,0.03039842262762012,8
1/12/2018,Saturday,09:22:50 AM,1007,-,-,09:24:02 AM,1008,-,-,0.21722222222222223,1,5.337930647420762,0.494573537,24.57359377329251,0.020126219288996335,8
1/12/2018,Saturday,09:24:02 AM,1008,-,-,09:26:05 AM,1009,-,-,0.21722222222222223,1,5.337930647420762,0.843732102,24.57359377329251,0.03433490883685882,8
1/12/2018,Saturday,09:26:05 AM,1009,-,-,09:29:01 AM,1010,-,-,0.21722222222222223,1,5.337930647420762,1.202573128,24.57359377329251,0.04893761730964239,8
1/12/2018,Saturday,09:29:01 AM,1010,-,-,09:31:10 AM,1011,-,-,0.21722222222222223,1,5.337930647420762,0.88730093,24.57359377329251,0.036107902579733835,8
1/12/2018,Saturday,09:31:10 AM,1011,-,-,9:34:03 AM,1012,1.60172,103.64516,0.21722222222222223,1,5.337930647420762,1.349996543,24.57359377329251,0.054936878807983966,8
1/12/2018,Saturday,9:34:03 AM,1012,1.60172,103.64516,09:34:16 AM,1013,-,-,0.05,1,7.12205086880178,0.536855073,142.44101737603557,0.003768964044835031,8
1/12/2018,Saturday,09:34:16 AM,1013,-,-,09:34:34 AM,1014,-,-,0.05,1,7.12205086880178,0.724319253,142.44101737603557,0.005085046894096814,8
1/12/2018,Saturday,09:34:34 AM,1014,-,-,09:35:40 AM,1015,-,-,0.05,1,7.12205086880178,2.649074,142.44101737603557,0.018597690811254224,8
1/12/2018,Saturday,09:35:40 AM,1015,-,-,09:35:58 AM,1016,-,-,0.05,1,7.12205086880178,0.728262963,142.44101737603557,0.005112733511846734,8
1/12/2018,Saturday,09:35:58 AM,1016,-,-,09:36:29 AM,1017,-,-,0.05,1,7.12205086880178,1.228532963,142.44101737603557,0.008624853891325054,8
1/12/2018,Saturday,09:36:29 AM,1017,-,-,9:37:03 AM,1018,1.54344,103.65812,0.05,1,7.12205086880178,1.07407987,142.44101737603557,0.007540523718420902,8
1/12/2018,Saturday,9:37:03 AM,1018,1.54344,103.65812,9:38:03 AM,1019,1.54127,103.65929,0.016666666666666666,1,0.24938314612601692,0.509148532,14.962988767561015,0.03402719469413809,8
1/12/2018,Saturday,9:38:03 AM,1019,1.54127,103.65929,9:39:03 AM,1020,1.53511,103.66506,0.016666666666666666,1,0.8965418577854791,0.774119706,53.79251146712875,0.014390845210360648,8
1/12/2018,Saturday,9:39:03 AM,1020,1.53511,103.66506,9:40:03 AM,1021,1.5284,103.67051,0.016666666666666666,1,0.9467968848422071,1.067701649,56.80781309053243,0.01879497891070802,8
1/12/2018,Saturday,9:40:03 AM,1021,1.5284,103.67051,9:42:03 AM,1022,1.52329,103.67911,0.03333333333333333,1,1.0614820677611694,1.256709257,31.844462032835082,0.03946398138879523,9
1/12/2018,Saturday,10:30:02 AM,1037,1.46264,103.76566,10:32:28 AM,1038,-,-,0.13361111111111112,2,6.143517125252248,1.87260701,45.98058555282347,0.040726036597526785,10
1/12/2018,Saturday,10:32:28 AM,1038,-,-,10:33:41 AM,1039,-,-,0.13361111111111112,2,6.143517125252248,0.944101005,45.98058555282347,0.020532600741140994,10
1/12/2018,Saturday,10:33:41 AM,1039,-,-,10:35:25 AM,1040,-,-,0.13361111111111112,2,6.143517125252248,1.339161829,45.98058555282347,0.029124505764754616,10
1/12/2018,Saturday,10:35:25 AM,1040,-,-,10:36:35 AM,1041,-,-,0.13361111111111112,2,6.143517125252248,0.901057887,45.98058555282347,0.01959648569426863,10
1/12/2018,Saturday,10:36:35 AM,1041,-,-,10:38:03 AM,1042,1.47246,103.72525,0.13361111111111112,2,6.143517125252248,1.312630806,45.98058555282347,0.028547500868426785,10
1/12/2018,Saturday,10:38:03 AM,1042,1.47246,103.72525,10:40:07 AM,1043,-,-,0.08333333333333333,2,6.084713507563698,2.519699173,73.01656209076438,0.034508597787278016,10
1/12/2018,Saturday,10:40:07 AM,1043,-,-,10:40:53 AM,1044,-,-,0.08333333333333333,2,6.084713507563698,0.941618741,73.01656209076438,0.012895961053733343,10
1/12/2018,Saturday,10:40:53 AM,1044,-,-,10:41:22 AM,1045,-,-,0.08333333333333333,2,6.084713507563698,0.602161916,73.01656209076438,0.0082469223249853,10
