Vehicle_No,Date,Time,Location,Lat,Lng,Speed,Vehicle_Status,GPS,Distance-KM,Vehicle_Batt.-V,Route,Nearest_Stop,Distance-BS
BHM6726,1/12/2018,9:08:00 AM,"Terminal Bas Kulai, Taman Kulai, Kulai, Johor",1.66246,103.59877,0,Ignition on; Idling; ,GOOD,0.75,28.1,1,1000,0.0227466093740802
BHM6726,1/12/2018,9:09:00 AM,"PTB 1306 & PTB 1307, Jalan Tun Mutahir 1,Jalan Besar, Kulai, Johor,",1.66299,103.5993,27.78,Ignition on; Moving; ,GOOD,0.59,28.23,1,1000,0.08912852924087943
BHM6726,1/12/2018,9:10:00 AM,"PTB 1306 & PTB 1307, Jalan Tun Mutahir 1,Jalan Besar, Kulai, Johor,",1.66299,103.5993,0,Ignition on; Idling; ,GOOD,0.01,28.1,1,1000,0.08912852924087943
BHM6726,1/12/2018,9:11:01 AM,"PTB 1306 & PTB 1307, Jalan Tun Mutahir 1,Jalan Besar, Kulai, Johor,",1.66299,103.5993,0,Ignition on; Idling; ,GOOD,0,27.97,1,1000,0.08912852924087943
BHM6726,1/12/2018,9:12:01 AM,"PTB 1306 & PTB 1307, Jalan Tun Mutahir 1,Jalan Besar, Kulai, Johor,",1.66299,103.5993,0,Ignition on; Idling; ,GOOD,0,27.97,1,1000,0.08912852924087943
BHM6726,1/12/2018,9:13:01 AM,"PTB 1306 & PTB 1307, Jalan Tun Mutahir 1,Jalan Besar, Kulai, Johor,",1.66299,103.5993,0,Ignition on; Idling; ,GOOD,0,28.23,1,1000,0.08912852924087943
BHM6726,1/12/2018,9:15:01 AM,"Shell, Taman Seraya, Kulai, Johor",1.64961,103.61234,38.89,Ignition on; Moving; ,GOOD,0.54,28.1,1,1004,0.1536792244973873
BHM6726,1/12/2018,9:16:01 AM,"1, Jalan Raya, Kulai Besar, Kulai, Johor",1.65093,103.61135,25.93,Ignition on; Moving; ,GOOD,0.39,28.1,1,1003,0.014871806133790338
BHM6726,1/12/2018,9:17:01 AM,"No. 367, Jalan Susur Kulai 1,, Kulai, Johor,",1.64746,103.6139,42.6,Ignition on; Moving; ,GOOD,0.72,27.97,1,1004,0.14201017261595375
BHM6726,1/12/2018,9:18:01 AM,"No. 25-1, Jalan Susur Kulai 1, Johor, Kulai",1.65518,103.60936,0,Ignition on; Idling; ,GOOD,0.43,27.97,1,1002,0.11599198610264787
BHM6726,1/12/2018,9:19:01 AM,"31-3 & 31-4, First Floor, Jalan Susur Kulai 1, Kulai Besar,, Kulai, Johor,",1.64889,103.61284,42.6,Ignition on; Moving; ,GOOD,0.12,27.97,1,1004,0.056836525118528804
BHM6726,1/12/2018,9:20:01 AM,"22, Jalan Seri Putra 1, Bandar Putra, Kulai, Johor",1.64043,103.62374,44.45,Ignition on; Moving; ,GOOD,0.83,28.23,1,1006,0.13101766037081725
BHM6726,1/12/2018,9:21:01 AM,"Jalan Kulai - Senai, Hospital Kulaijaya, Kulai, Johor",1.63933,103.62515,16.67,Ignition on; Moving; ,GOOD,0.14,28.1,1,1006,0.06933975821687964
BHM6726,1/12/2018,9:23:02 AM,"1, Kulai, Johor",1.66272,103.59971,0,Ignition on; Idling; ,GOOD,1.16,27.97,1,1000,0.12340165535459756
BHM6726,1/12/2018,9:24:02 AM,"1, Senai, Johor",1.60172,103.64516,75.93,Ignition on; Moving; ,GOOD,0.88,28.36,1,1012,0.0720628913405611
BHM6726,1/12/2018,9:25:02 AM,"1, Senai, Johor",1.60172,103.64516,51.86,Ignition on; Moving; ,GOOD,1.1,28.23,1,1012,0.0720628913405611
BHM6726,1/12/2018,9:28:02 AM,"No 176-B, Jalan Belimbing 1, Johor, Senai",1.60099,103.64489,0,Ignition on; Idling; ,GOOD,0.45,27.84,1,1012,0.016431370593949182
BHM6726,1/12/2018,9:29:02 AM,"No 176-B, Jalan Belimbing 1, Johor, Senai",1.60099,103.64489,0,Ignition on; Idling; ,GOOD,0,28.1,1,1012,0.016431370593949182
BHM6726,1/12/2018,9:31:02 AM,"1, Senai, Johor",1.60172,103.64516,55.56,Ignition on; Moving; ,GOOD,1.11,28.23,1,1012,0.0720628913405611
BHM6726,1/12/2018,9:33:02 AM,"1, Senai, Johor",1.60172,103.64516,75.93,Ignition on; Moving; ,GOOD,1.37,28.36,1,1012,0.0720628913405611
BHM6726,1/12/2018,9:34:03 AM,"1, Senai, Johor",1.60172,103.64516,77.78,Ignition on; Moving; ,GOOD,1.12,28.49,1,1012,0.0720628913405611
