Date,Day,Time_A,BS_A,Lat_A,Lng_A,Time_B,BS_B,Lat_B,Lng_B,Duration(h),Route
01/12/2018,Saturday,8:51:02 AM,1001,1.66155,103.60257,8:55:02 AM,1002,1.65305,103.61006,0.06666666666666667,1
01/12/2018,Saturday,8:55:02 AM,1002,1.65305,103.61006,8:56:02 AM,1004,1.64837,103.61323,0.016666666666666666,1
01/12/2018,Saturday,8:56:02 AM,1004,1.64837,103.61323,8:59:02 AM,1006,1.63998,103.62432,0.05,1
01/12/2018,Saturday,8:59:02 AM,1006,1.63998,103.62432,9:01:20 AM,1007,1.63528,103.63046,0.03833333333333333,1
01/12/2018,Saturday,9:01:20 AM,1007,1.63528,103.63046,9:10:36 AM,1012,1.60099,103.64489,0.15444444444444444,1
01/12/2018,Saturday,9:10:36 AM,1012,1.60099,103.64489,9:24:54 AM,1022,1.52329,103.67911,0.23833333333333334,1
01/12/2018,Saturday,9:24:54 AM,1022,1.52329,103.67911,9:26:54 AM,1024,1.51103,103.68775,0.03333333333333333,1
01/12/2018,Saturday,9:26:54 AM,1024,1.51103,103.68775,9:27:54 AM,1025,1.50875,103.68927,0.016666666666666666,1
01/12/2018,Saturday,9:27:54 AM,1025,1.50875,103.68927,9:31:12 AM,1027,1.49853,103.69909,0.055,1
01/12/2018,Saturday,9:31:12 AM,1027,1.49853,103.69909,9:32:12 AM,1028,1.49616,103.7028,0.016666666666666666,1
01/12/2018,Saturday,9:32:12 AM,1028,1.49616,103.7028,9:34:12 AM,1029,1.48895,103.71283,0.03333333333333333,1
01/12/2018,Saturday,9:34:12 AM,1029,1.48895,103.71283,9:38:12 AM,1031,1.46267,103.73198,0.06666666666666667,1
01/12/2018,Saturday,9:38:12 AM,1031,1.46267,103.73198,9:43:26 AM,1035,1.45517,103.76089,0.08722222222222223,1
01/12/2018,Saturday,9:43:26 AM,1035,1.45517,103.76089,9:55:46 AM,1036,1.46264,103.76566,0.05,1
01/12/2018,Saturday,9:55:46 AM,1037,1.46264,103.76566,10:02:04 AM,1041,1.46208,103.73239,0.105,2
01/12/2018,Saturday,10:02:04 AM,1041,1.46208,103.73239,10:06:04 AM,1043,1.48928,103.71211,0.06666666666666667,2
01/12/2018,Saturday,10:06:04 AM,1043,1.48928,103.71211,10:08:04 AM,1045,1.49608,103.70214,0.03333333333333333,2
01/12/2018,Saturday,10:08:04 AM,1045,1.49608,103.70214,10:11:20 AM,1046,1.50798,103.68946,0.05444444444444444,2
01/12/2018,Saturday,10:11:20 AM,1046,1.50798,103.68946,10:14:20 AM,1048,1.52346,103.67885,0.05,2
01/12/2018,Saturday,10:14:20 AM,1048,1.52346,103.67885,10:16:20 AM,1051,1.53757,103.66255,0.03333333333333333,2
01/12/2018,Saturday,10:16:20 AM,1051,1.53757,103.66255,10:20:38 AM,1053,1.5448,103.65738,0.07166666666666667,2
01/12/2018,Saturday,10:20:38 AM,1053,1.5448,103.65738,10:29:38 AM,1057,1.60194,103.64516,0.15,2
01/12/2018,Saturday,10:29:38 AM,1057,1.60194,103.64516,10:30:55 AM,1059,1.61283,103.64722,0.021388888888888888,2
01/12/2018,Saturday,10:30:55 AM,1059,1.61283,103.64722,10:50:29 AM,1071,1.66246,103.59877,0.32611111111111113,2
01/12/2018,Saturday,11:47:57 AM,1000,1.66299,103.5993,11:52:15 AM,1002,1.65268,103.6102,0.07166666666666667,1
01/12/2018,Saturday,11:52:15 AM,1002,1.65268,103.6102,11:53:15 AM,1003,1.65093,103.61135,0.016666666666666666,1
01/12/2018,Saturday,11:53:15 AM,1003,1.65093,103.61135,11:54:15 AM,1005,1.64534,103.61631,0.016666666666666666,1
01/12/2018,Saturday,11:54:15 AM,1005,1.64534,103.61631,11:57:15 AM,1006,1.63933,103.62515,0.05,1
01/12/2018,Saturday,11:57:15 AM,1006,1.63933,103.62515,11:59:15 AM,1007,1.63528,103.63046,0.03333333333333333,1
01/12/2018,Saturday,11:59:15 AM,1007,1.63528,103.63046,12:07:31 PM,1012,1.60099,103.64489,0.13777777777777778,1
01/12/2018,Saturday,12:07:31 PM,1012,1.60099,103.64489,12:08:31 PM,1013,1.59752,103.64553,0.016666666666666666,1
01/12/2018,Saturday,12:08:31 PM,1013,1.59752,103.64553,12:14:50 PM,1018,1.54568,103.65734,0.10527777777777778,1
01/12/2018,Saturday,12:14:50 PM,1018,1.54568,103.65734,1:09:16 PM,1036,1.46486,103.7644,0.515,1
01/12/2018,Saturday,1:09:16 PM,1037,1.46486,103.7644,1:17:34 PM,1040,1.4597,103.73692,0.13833333333333334,2
01/12/2018,Saturday,1:17:34 PM,1040,1.4597,103.73692,1:35:18 PM,1053,1.5448,103.65738,0.29555555555555557,2
01/12/2018,Saturday,1:35:18 PM,1053,1.5448,103.65738,1:46:34 PM,1057,1.59994,103.64472,0.18777777777777777,2
01/12/2018,Saturday,1:46:34 PM,1057,1.59994,103.64472,1:48:34 PM,1059,1.6125,103.64725,0.03333333333333333,2
01/12/2018,Saturday,1:48:34 PM,1059,1.6125,103.64725,2:13:28 PM,1071,1.66246,103.59877,0.415,2
