Vehicle_No,Date,Time,Location,Lat,Lng,Speed,Vehicle_Status,GPS,Distance-KM,Vehicle_Batt.-V,Route,Nearest_Stop,Distance-BS
BFV7518,01/12/2018,8:51:02 AM,"20, Jalan Besar, Taman Mewah, Kulai, Johor",1.66155,103.60257,0.00,Ignition on; Idling; ,GOOD,0.00,,1,1001,0.09867363453569217
BFV7518,01/12/2018,8:54:02 AM,"Kulai Besar, Taman Kulai Besar, Kulai, Johor",1.65416,103.60965,0.00,Ignition on; Idling; ,GOOD,0.50,,1,1002,0.009361899245247777
BFV7518,01/12/2018,8:55:02 AM,"19, Jalan Besar, Taman Kulai Besar, Kulai, Johor",1.65305,103.61006,12.96,Ignition on; Moving; ,GOOD,0.11,,1,1002,0.13346070849715166
BFV7518,01/12/2018,8:56:02 AM,"8-A, Felda Bukit Ramun, Kulai,",1.64837,103.61323,0.00,Ignition on; Idling; ,GOOD,0.64,,1,1004,0.01813413030238259
BFV7518,01/12/2018,8:57:02 AM,"No. 25-1, Jalan Susur Kulai 1, Johor, Kulai",1.65518,103.60936,38.89,Ignition on; Moving; ,GOOD,0.56,,1,1002,0.11599198610264787
BFV7518,01/12/2018,8:58:02 AM,"39, Jalan Seri Putra 1, Bandar Putra, Kulai, Johor",1.64063,103.62349,46.30,Ignition on; Moving; ,GOOD,0.80,,1,1006,0.16646081935333176
BFV7518,01/12/2018,8:59:02 AM,"9, Jalan Sri Putra 1, Bandar Putra Kulai, Kulai,, Kulai, Johor,",1.63998,103.62432,0.00,Ignition on; Idling; ,GOOD,0.27,,1,1006,0.05023828873969606
BFV7518,01/12/2018,9:01:20 AM,"28, Jalan Cermai 1, Taman Mesra, Saleng Senai,, Johor Bahru, Johor,",1.63528,103.63046,7.41,Ignition on; Moving; ,GOOD,0.58,,1,1007,0.08474627071126414
BFV7518,01/12/2018,9:02:20 AM,"1, Kulai, Johor",1.66272,103.59971,0.00,Ignition on; Idling; ,GOOD,0.46,,1,1000,0.12340165535459756
BFV7518,01/12/2018,9:05:20 AM,"1, Senai, Johor",1.60172,103.64516,61.12,Ignition on; Moving; ,GOOD,0.95,,1,1012,0.0720628913405611
BFV7518,01/12/2018,9:07:20 AM,"Lot 2555, Jalan Air Hitam, Saleng, Senai,, Senai, Johor",1.66246,103.59877,33.34,Ignition on; Moving; ,GOOD,0.46,,1,1000,0.0227466093740802
BFV7518,01/12/2018,9:09:20 AM,"No 176-B, Jalan Belimbing 1, Johor, Senai",1.60099,103.64489,0.00,Ignition on; Idling; ,GOOD,0.53,,1,1012,0.016431370593949182
BFV7518,01/12/2018,9:10:36 AM,"No 176-B, Jalan Belimbing 1, Johor, Senai",1.60099,103.64489,0.00,Ignition on; Idling; ,GOOD,0.00,,1,1012,0.016431370593949182
BFV7518,01/12/2018,9:12:36 AM,"Petronas, Lot 1283, GM 679, Mukim Pulai, Lebuhraya Skudai, Johor Bahru,, Johor",1.5238,103.67872,48.15,Ignition on; Moving; ,GOOD,0.76,,1,1022,0.19645387431362743
BFV7518,01/12/2018,9:14:36 AM,"1, Senai, Johor",1.60172,103.64516,61.12,Ignition on; Moving; ,GOOD,1.03,,1,1012,0.0720628913405611
BFV7518,01/12/2018,9:15:36 AM,"1, Senai, Johor",1.60172,103.64516,64.82,Ignition on; Moving; ,GOOD,1.16,,1,1012,0.0720628913405611
