bus_stop_code,current_time,duration,hour,round,day,minute,time
0100101002,08:51:02,219,8,0,5,51,7
0100201003,08:55:02,43,8,0,5,55,7
0100301004,08:55:45,37,8,0,5,55,7
0100401005,08:56:02,57,8,0,5,56,7
0100501006,08:56:59,125,8,0,5,56,7
0100601007,08:59:02,126,8,0,5,59,7
0100701008,09:01:20,58,9,0,5,1,7
0100801009,09:02:18,100,9,0,5,2,7
0100901010,09:03:58,143,9,0,5,3,7
0101001011,09:06:21,105,9,0,5,6,7
0101101012,09:08:06,160,9,0,5,8,7
0101201013,09:10:36,44,9,0,5,10,8
0101301014,09:11:20,60,9,0,5,11,8
0101401015,09:12:20,220,9,0,5,12,8
0101501016,09:16:00,60,9,0,5,16,8
0101601017,09:17:00,102,9,0,5,17,8
0101701018,09:18:42,89,9,0,5,18,8
0101801019,09:20:11,42,9,0,5,20,8
0101901020,09:20:53,64,9,0,5,20,8
0102001021,09:21:57,88,9,0,5,21,8
0102101022,09:23:25,104,9,0,5,23,8
0102201023,09:24:54,29,9,0,5,24,8
0102301024,09:25:23,74,9,0,5,25,8
0102401025,09:26:54,96,9,0,5,26,8
0102501026,09:27:54,151,9,0,5,27,8
0102601027,09:30:25,57,9,0,5,30,8
0102701028,09:31:12,60,9,0,5,31,8
0102801029,09:32:12,127,9,0,5,32,8
0102901030,09:34:12,152,9,0,5,34,8
0103001031,09:36:44,95,9,0,5,36,8
0103101032,09:38:12,94,9,0,5,38,8
0103201033,09:39:46,91,9,0,5,39,8
0103301034,09:41:17,24,9,0,5,41,8
0103401035,09:41:41,146,9,0,5,41,8
0103701038,09:55:46,152,9,0,5,55,9
0103801039,09:58:18,76,9,0,5,58,9
0103901040,09:59:34,108,9,0,5,59,9
0104001041,10:01:22,73,10,0,5,1,9
0104101042,10:02:04,78,10,0,5,2,9
0104201043,10:03:22,150,10,0,5,3,9
0104301044,10:06:04,84,10,0,5,6,9
0104401045,10:07:28,54,10,0,5,7,9
0104501046,10:08:04,182,10,0,5,8,9
0104601047,10:11:20,106,10,0,5,11,10
0104701048,10:13:06,70,10,0,5,13,10
0104801049,10:14:20,66,10,0,5,14,10
0104901050,10:15:26,51,10,0,5,15,10
0105001051,10:16:17,9,10,0,5,16,10
0105101052,10:16:20,139,10,0,5,16,10
0105201053,10:18:39,176,10,0,5,18,10
0105301054,10:20:38,85,10,0,5,20,10
0105401055,10:22:03,349,10,0,5,22,10
0105501056,10:27:52,54,10,0,5,27,10
0105601057,10:28:46,39,10,0,5,28,10
0105701058,10:29:38,42,10,0,5,29,10
0105801059,10:30:20,46,10,0,5,30,10
0105901060,10:30:55,126,10,0,5,30,10
0106001061,10:33:01,194,10,0,5,33,10
0106101062,10:36:15,79,10,0,5,36,10
0106201063,10:37:34,16,10,0,5,37,10
0106301064,10:37:50,57,10,0,5,37,10
0106401065,10:38:47,103,10,0,5,38,10
0106501066,10:40:30,175,10,0,5,40,10
0106601067,10:43:25,47,10,0,5,43,10
0106701068,10:44:12,93,10,0,5,44,10
0106801069,10:45:45,48,10,0,5,45,10
0106901070,10:46:33,133,10,0,5,46,10
0107001071,10:48:46,100,10,0,5,48,10
0100001001,11:47:57,86,11,0,5,47,13
0100101002,11:49:23,167,11,0,5,49,13
0100201003,11:52:15,272,11,0,5,52,13
0100301004,11:53:15,25,11,0,5,53,13
0100401005,11:53:40,35,11,0,5,53,13
0100501006,11:54:15,179,11,0,5,54,13
0100601007,11:57:15,128,11,0,5,57,13
0100701008,11:59:15,52,11,0,5,59,13
0100801009,12:00:07,89,12,0,5,0,13
0100901010,12:01:36,127,12,0,5,1,13
0101001011,12:03:43,94,12,0,5,3,13
0101101012,12:05:17,143,12,0,5,5,13
0101201013,12:07:31,84,12,0,5,7,13
0101301014,12:08:31,43,12,0,5,8,13
0101401015,12:09:14,158,12,0,5,9,13
0101501016,12:11:52,43,12,0,5,11,13
0101601017,12:12:35,73,12,0,5,12,13
0101701018,12:13:48,64,12,0,5,13,13
0103701038,13:09:16,214,13,0,5,9,15
0103801039,13:12:50,108,13,0,5,12,15
0103901040,13:14:38,153,13,0,5,14,15
0104001041,13:17:34,71,13,0,5,17,16
0104101042,13:18:45,103,13,0,5,18,16
0104201043,13:20:28,199,13,0,5,20,16
0104301044,13:23:47,74,13,0,5,23,16
0104401045,13:25:01,47,13,0,5,25,16
0104501046,13:25:48,142,13,0,5,25,16
0104601047,13:28:10,91,13,0,5,28,16
0104701048,13:29:41,60,13,0,5,29,16
0104801049,13:30:41,99,13,0,5,30,16
0104901050,13:32:20,76,13,0,5,32,16
0105001051,13:33:36,14,13,0,5,33,16
0105101052,13:33:50,41,13,0,5,33,16
0105201053,13:34:31,52,13,0,5,34,16
0105301054,13:35:18,110,13,0,5,35,16
0105401055,13:37:08,451,13,0,5,37,16
0105501056,13:44:39,70,13,0,5,44,16
0105601057,13:45:49,50,13,0,5,45,16
0105701058,13:46:34,57,13,0,5,46,17
0105801059,13:47:31,63,13,0,5,47,17
0105901060,13:48:34,159,13,0,5,48,17
0106001061,13:51:13,247,13,0,5,51,17
0106101062,13:55:20,101,13,0,5,55,17
0106201063,13:57:01,21,13,0,5,57,17
0106301064,13:57:22,73,13,0,5,57,17
0106401065,13:58:35,131,13,0,5,58,17
0106501066,14:00:46,222,14,0,5,0,17
0106601067,14:04:28,60,14,0,5,4,17
0106701068,14:05:28,118,14,0,5,5,17
0106801069,14:07:26,61,14,0,5,7,17
0106901070,14:08:27,169,14,0,5,8,17
0107001071,14:11:16,127,14,0,5,11,17
0100001001,15:22:27,17,15,0,5,22,20
0100101002,15:22:44,34,15,0,5,22,20
0100201003,15:23:18,12,15,0,5,23,20
0100301004,15:23:27,135,15,0,5,23,20
0100401005,15:25:42,187,15,0,5,25,20
0100501006,15:28:49,412,15,0,5,28,20
0100601007,15:35:43,128,15,0,5,35,20
0100701008,15:37:43,59,15,0,5,37,20
0100801009,15:38:42,100,15,0,5,38,20
0100901010,15:40:22,143,15,0,5,40,20
0101001011,15:42:45,106,15,0,5,42,20
0101101012,15:44:31,161,15,0,5,44,20
0101201013,15:47:01,49,15,0,5,47,21
0101301014,15:48:01,97,15,0,5,48,21
0101401015,15:49:38,357,15,0,5,49,21
0101501016,15:55:35,98,15,0,5,55,21
0101601017,15:57:13,165,15,0,5,57,21
0101701018,15:59:58,144,15,0,5,59,21
0101801019,16:02:22,68,16,0,5,2,21
0101901020,16:03:30,104,16,0,5,3,21
0102001021,16:05:14,143,16,0,5,5,21
0102101022,16:07:39,444,16,0,5,7,21
0102201023,16:12:55,79,16,0,5,12,22
0102301024,16:13:55,136,16,0,5,13,22
0102401025,16:16:55,336,16,0,5,16,22
0102501026,16:22:14,197,16,0,5,22,22
0102601027,16:25:31,74,16,0,5,25,22
0102701028,16:26:45,55,16,0,5,26,22
0102801029,16:27:14,314,16,0,5,27,22
0102901030,16:32:29,137,16,0,5,32,22
0103001031,16:34:29,105,16,0,5,34,22
0103101032,16:36:29,63,16,0,5,36,22
0103201033,16:37:32,61,16,0,5,37,22
0103701038,18:55:51,174,18,0,5,55,27
0103801039,18:58:45,87,18,0,5,58,27
0103901040,19:00:12,124,19,0,5,0,27
0104001041,19:02:09,446,19,0,5,2,27
0104101042,19:06:09,40,19,0,5,6,27
0104201043,19:06:49,78,19,0,5,6,27
0104301044,19:08:09,102,19,0,5,8,27
0104401045,19:09:51,65,19,0,5,9,27
0104501046,19:10:56,196,19,0,5,10,27
0104601047,19:14:28,102,19,0,5,14,28
0104701048,19:15:28,145,19,0,5,15,28
0104801049,19:18:28,67,19,0,5,18,28
0104901050,19:19:28,67,19,0,5,19,28
0105001051,19:20:35,13,19,0,5,20,28
0105101052,19:20:44,423,19,0,5,20,28
0105201053,19:23:44,62,19,0,5,23,28
0105301054,19:24:44,111,19,0,5,24,28
0105401055,19:26:35,458,19,0,5,26,28
0105501056,19:34:13,71,19,0,5,34,28
0105601057,19:35:24,51,19,0,5,35,28
0105701058,19:36:04,16,19,0,5,36,28
0105801059,19:36:20,17,19,0,5,36,28
0105901060,19:36:37,20,19,0,5,36,28
0106001061,19:37:04,246,19,0,5,37,28
0106101062,19:41:10,101,19,0,5,41,28
0106201063,19:42:51,21,19,0,5,42,28
0106301064,19:43:12,73,19,0,5,43,28
0106401065,19:44:25,131,19,0,5,44,28
0106501066,19:46:36,221,19,0,5,46,28
0106601067,19:50:17,60,19,0,5,50,28
0106701068,19:51:17,118,19,0,5,51,28
0106801069,19:53:15,61,19,0,5,53,28
0106901070,19:54:16,169,19,0,5,54,28
0107001071,19:57:05,127,19,0,5,57,28
0100001001,09:13:41,19,9,0,6,13,8
0100101002,09:14:00,36,9,0,6,14,8
0100201003,09:14:36,13,9,0,6,14,8
0100301004,09:14:41,550,9,0,6,14,8
0100401005,09:18:41,72,9,0,6,18,8
0100501006,09:19:53,159,9,0,6,19,8
0100601007,09:22:59,64,9,0,6,22,8
0100701008,09:23:59,156,9,0,6,23,8
0100801009,09:24:59,106,9,0,6,24,8
0100901010,09:26:45,152,9,0,6,26,8
0101001011,09:29:17,112,9,0,6,29,8
0101101012,09:31:09,170,9,0,6,31,8
0101201013,09:34:17,49,9,0,6,34,8
0101301014,09:35:17,101,9,0,6,35,8
0103701038,10:35:02,176,10,0,6,35,10
0103801039,10:37:58,88,10,0,6,37,10
0103901040,10:39:26,126,10,0,6,39,10
0104001041,10:41:32,84,10,0,6,41,10
0104101042,10:42:20,113,10,0,6,42,11
0104201043,10:44:13,218,10,0,6,44,11
0104301044,10:47:51,81,10,0,6,47,11
0104401045,10:49:12,52,10,0,6,49,11
0104501046,10:50:04,156,10,0,6,50,11
0104601047,10:52:40,100,10,0,6,52,11
0104701048,10:54:20,66,10,0,6,54,11
0104801049,10:55:26,108,10,0,6,55,11
0104901050,10:57:14,84,10,0,6,57,11
0105001051,10:58:38,16,10,0,6,58,11
0105101052,10:58:54,45,10,0,6,58,11
0105201053,10:59:39,57,10,0,6,59,11
0105301054,11:00:55,67,11,0,6,0,11
0105401055,11:02:02,278,11,0,6,2,11
0105501056,11:06:40,43,11,0,6,6,11
0105601057,11:07:23,31,11,0,6,7,11
0105701058,11:07:55,34,11,0,6,7,11
0105801059,11:08:29,37,11,0,6,8,11
0105901060,11:09:06,42,11,0,6,9,11
0106001061,11:09:55,288,11,0,6,9,11
0106101062,11:14:43,118,11,0,6,14,11
0106201063,11:15:17,32,11,0,6,15,12
0106301064,11:15:49,113,11,0,6,15,12
0106401065,11:17:42,202,11,0,6,17,12
0106501066,11:21:04,342,11,0,6,21,12
0106601067,11:26:46,93,11,0,6,26,12
0106701068,11:28:19,182,11,0,6,28,12
0106801069,11:31:21,94,11,0,6,31,12
0106901070,11:32:55,261,11,0,6,32,12
0107001071,11:37:16,196,11,0,6,37,12
0100001001,12:26:23,42,12,0,6,26,14
0100101002,12:27:05,82,12,0,6,27,14
0100201003,12:28:23,253,12,0,6,28,14
0100301004,12:29:23,146,12,0,6,29,14
0100401005,12:31:39,89,12,0,6,31,14
0100501006,12:33:08,197,12,0,6,33,14
0100601007,12:36:39,122,12,0,6,36,14
0100701008,12:38:41,81,12,0,6,38,14
0100801009,12:40:02,138,12,0,6,40,14
0100901010,12:42:20,197,12,0,6,42,14
0101001011,12:45:37,145,12,0,6,45,14
0101101012,12:48:02,222,12,0,6,48,14
0101201013,12:51:17,13,12,0,6,51,15
0101301014,12:51:30,18,12,0,6,51,15
0101401015,12:51:48,68,12,0,6,51,15
0101501016,12:52:56,18,12,0,6,52,15
0101601017,12:53:14,31,12,0,6,53,15
0101701018,12:53:45,27,12,0,6,53,15
0101801019,12:54:17,230,12,0,6,54,15
0101901020,12:57:17,45,12,0,6,57,15
0102001021,12:58:02,62,12,0,6,58,15
0102101022,12:59:17,360,12,0,6,59,15
0102201023,13:03:33,44,13,0,6,3,15
0102301024,13:04:33,125,13,0,6,4,15
0102401025,13:06:38,55,13,0,6,6,15
0102501026,13:07:33,146,13,0,6,7,15
0102601027,13:09:59,55,13,0,6,9,15
0102701028,13:10:52,76,13,0,6,10,16
0102801029,13:11:52,127,13,0,6,11,16
0103701038,13:32:30,123,13,0,6,32,16
0103801039,13:34:33,62,13,0,6,34,16
0103901040,13:35:35,88,13,0,6,35,16
0104001041,13:37:03,59,13,0,6,37,16
0104101042,13:38:02,86,13,0,6,38,16
0104201043,13:39:28,166,13,0,6,39,16
0104301044,13:42:47,111,13,0,6,42,17
0104401045,13:44:38,71,13,0,6,44,17
0104501046,13:45:47,265,13,0,6,45,17
0104601047,13:49:47,490,13,0,6,49,17
0104701048,13:55:05,48,13,0,6,55,17
0104801049,13:56:05,127,13,0,6,56,17
0104901050,13:58:05,116,13,0,6,58,17
0105001051,14:00:01,22,14,0,6,0,17
0105101052,14:00:23,63,14,0,6,0,17
0105201053,14:01:21,74,14,0,6,1,17
0105301054,14:02:21,78,14,0,6,2,17
0105401055,14:03:39,321,14,0,6,3,17
0105501056,14:09:00,50,14,0,6,9,17
0105601057,14:09:50,36,14,0,6,9,17
0105701058,14:10:36,87,14,0,6,10,18
0105801059,14:12:03,97,14,0,6,12,18
0105901060,14:13:40,109,14,0,6,13,18
0106001061,14:15:29,169,14,0,6,15,18
0106101062,14:18:18,69,14,0,6,18,18
0106201063,14:19:27,14,14,0,6,19,18
0106301064,14:19:41,50,14,0,6,19,18
0106401065,14:20:31,90,14,0,6,20,18
0106501066,14:22:01,152,14,0,6,22,18
0106601067,14:24:33,41,14,0,6,24,18
0106701068,14:25:14,81,14,0,6,25,18
0106801069,14:26:35,42,14,0,6,26,18
0106901070,14:27:17,116,14,0,6,27,18
0107001071,14:29:13,87,14,0,6,29,18
0100001001,15:20:39,109,15,0,6,20,20
0100101002,15:22:39,160,15,0,6,22,20
0100201003,15:25:19,58,15,0,6,25,20
0100301004,15:26:17,50,15,0,6,26,20
0100401005,15:26:39,2,15,0,6,26,20
0100501006,15:26:41,4,15,0,6,26,20
0100601007,15:26:45,3,15,0,6,26,20
0100701008,15:26:48,2,15,0,6,26,20
0100801009,15:26:50,3,15,0,6,26,20
0100901010,15:26:53,5,15,0,6,26,20
0101001011,15:26:58,3,15,0,6,26,20
0101101012,15:27:01,5,15,0,6,27,20
0101201013,15:27:06,2,15,0,6,27,20
0101301014,15:27:08,3,15,0,6,27,20
0101401015,15:27:11,11,15,0,6,27,20
0101501016,15:27:22,3,15,0,6,27,20
0101601017,15:27:25,5,15,0,6,27,20
0101701018,15:27:30,4,15,0,6,27,20
0101801019,15:27:39,359,15,0,6,27,20
0101901020,15:33:38,546,15,0,6,33,20
0102001021,15:42:44,753,15,0,6,42,20
0102101022,15:55:17,887,15,0,6,55,20
0102201023,16:09:49,478,16,0,6,9,21
0102301024,16:13:06,146,16,0,6,13,22
0102401025,16:16:06,144,16,0,6,16,22
0102501026,16:18:06,126,16,0,6,18,22
0102601027,16:20:12,47,16,0,6,20,22
0102701028,16:20:21,36,16,0,6,20,22
0102801029,16:21:21,113,16,0,6,21,22
0102901030,16:23:21,200,16,0,6,23,22
0103001031,16:26:21,93,16,0,6,26,22
0103101032,16:27:54,61,16,0,6,27,22
0103201033,16:28:55,59,16,0,6,28,22
0103301034,16:29:54,16,16,0,6,29,22
0103401035,16:30:10,94,16,0,6,30,22
0103701038,17:06:29,302,17,0,6,6,23
0103801039,17:11:31,152,17,0,6,11,23
0103901040,17:14:03,216,17,0,6,14,23
0104001041,17:17:39,145,17,0,6,17,23
0104101042,17:19:47,46,17,0,6,19,24
0104201043,17:20:33,88,17,0,6,20,24
0104301044,17:22:08,84,17,0,6,22,24
0104401045,17:23:32,54,17,0,6,23,24
0104501046,17:24:08,388,17,0,6,24,24
0104601047,17:31:24,122,17,0,6,31,24
0104701048,17:33:26,82,17,0,6,33,24
0104801049,17:34:48,133,17,0,6,34,24
0104901050,17:36:24,131,17,0,6,36,24
0105001051,17:38:35,25,17,0,6,38,24
0105101052,17:39:24,102,17,0,6,39,24
0105201053,17:40:42,127,17,0,6,40,25
0105301054,17:41:42,95,17,0,6,41,25
0105401055,17:43:17,392,17,0,6,43,25
0105501056,17:49:49,61,17,0,6,49,25
0105601057,17:50:50,44,17,0,6,50,25
0105701058,17:52:03,92,17,0,6,52,25
0105801059,17:53:35,102,17,0,6,53,25
0105901060,17:55:17,115,17,0,6,55,25
0106001061,17:57:12,179,17,0,6,57,25
0106101062,18:00:11,73,18,0,6,0,25
0106201063,18:01:24,15,18,0,6,1,25
0106301064,18:01:39,53,18,0,6,1,25
0106401065,18:02:32,95,18,0,6,2,25
0106501066,18:04:07,160,18,0,6,4,25
0106601067,18:06:47,43,18,0,6,6,25
0106701068,18:07:30,85,18,0,6,7,25
0106801069,18:08:55,44,18,0,6,8,25
0106901070,18:09:39,122,18,0,6,9,25
0107001071,18:11:41,92,18,0,6,11,25
0100001001,18:27:55,241,18,0,6,27,26
0100101002,18:31:11,258,18,0,6,31,26
0100201003,18:35:11,87,18,0,6,35,26
0100301004,18:36:38,75,18,0,6,36,26
0100401005,18:37:11,60,18,0,6,37,26
0100501006,18:38:11,133,18,0,6,38,26
0100601007,18:40:25,71,18,0,6,40,27
0100701008,18:41:25,125,18,0,6,41,27
0100801009,18:42:25,91,18,0,6,42,27
0100901010,18:43:56,129,18,0,6,43,27
0101001011,18:46:05,95,18,0,6,46,27
0101101012,18:47:40,145,18,0,6,47,27
0101201013,18:50:43,3,18,0,6,50,27
0101301014,18:50:46,4,18,0,6,50,27
0101401015,18:50:50,15,18,0,6,50,27
0101501016,18:51:05,4,18,0,6,51,27
0101601017,18:51:09,7,18,0,6,51,27
0101701018,18:51:16,6,18,0,6,51,27
0101801019,18:51:22,3,18,0,6,51,27
0101901020,18:51:25,4,18,0,6,51,27
0102001021,18:51:29,6,18,0,6,51,27
0102101022,18:51:35,7,18,0,6,51,27
0102201023,18:51:43,731,18,0,6,51,27
