Date,Day,Time_A,BS_A,Lat_A,Lng_A,Time_B,BS_B,Lat_B,Lng_B,Duration(h),Route
1/12/2018,Saturday,8:09:02 AM,1001,1.66176,103.60205,8:17:03 AM,1003,1.65093,103.61135,0.13361111111111112,1
1/12/2018,Saturday,8:17:03 AM,1003,1.65093,103.61135,8:18:04 AM,1005,1.64534,103.61631,0.016944444444444446,1
1/12/2018,Saturday,8:18:04 AM,1005,1.64534,103.61631,8:19:04 AM,1006,1.64063,103.62349,0.016666666666666666,1
1/12/2018,Saturday,8:19:04 AM,1006,1.64063,103.62349,8:21:04 AM,1007,1.63528,103.63046,0.03333333333333333,1
1/12/2018,Saturday,8:21:04 AM,1007,1.63528,103.63046,8:23:05 AM,1009,1.62918,103.63746,0.03361111111111111,1
1/12/2018,Saturday,8:23:05 AM,1009,1.62918,103.63746,8:32:07 AM,1012,1.60172,103.64516,0.15055555555555555,1
1/12/2018,Saturday,8:32:07 AM,1012,1.60172,103.64516,8:35:08 AM,1018,1.54344,103.65812,0.050277777777777775,1
1/12/2018,Saturday,8:35:08 AM,1018,1.54344,103.65812,8:38:08 AM,1021,1.5284,103.67051,0.05,1
1/12/2018,Saturday,8:38:08 AM,1021,1.5284,103.67051,8:40:09 AM,1022,1.52329,103.67911,0.03361111111111111,1
1/12/2018,Saturday,8:40:09 AM,1022,1.52329,103.67911,8:46:10 AM,1029,1.48988,103.71159,0.10027777777777777,1
1/12/2018,Saturday,8:46:10 AM,1029,1.48988,103.71159,8:59:13 AM,1036,1.46291,103.76502,0.2175,1
1/12/2018,Saturday,9:20:04 AM,1037,1.4628,103.76509,9:29:06 AM,1042,1.47537,103.72454,0.15055555555555555,2
1/12/2018,Saturday,9:29:06 AM,1042,1.47537,103.72454,9:31:07 AM,1043,1.48839,103.71338,0.03361111111111111,2
1/12/2018,Saturday,9:31:07 AM,1043,1.48839,103.71338,9:34:07 AM,1045,1.49708,103.70086,0.05,2
1/12/2018,Saturday,9:34:07 AM,1045,1.49708,103.70086,9:36:08 AM,1046,1.50798,103.68946,0.03361111111111111,2
1/12/2018,Saturday,9:36:08 AM,1046,1.50798,103.68946,9:39:09 AM,1048,1.5224,103.67959,0.050277777777777775,2
1/12/2018,Saturday,9:39:09 AM,1048,1.5224,103.67959,9:41:09 AM,1049,1.52896,103.66948,0.03333333333333333,2
1/12/2018,Saturday,9:41:09 AM,1049,1.52896,103.66948,9:43:10 AM,1052,1.53976,103.66047,0.03361111111111111,2
1/12/2018,Saturday,9:43:10 AM,1052,1.53976,103.66047,9:49:11 AM,1057,1.60168,103.64505,0.10027777777777777,2
1/12/2018,Saturday,9:49:11 AM,1057,1.60168,103.64505,9:52:12 AM,1059,1.6125,103.64725,0.050277777777777775,2
1/12/2018,Saturday,9:52:12 AM,1059,1.6125,103.64725,11:04:00 AM,1071,1.66246,103.59877,0.3136111111111111,2
1/12/2018,Saturday,11:04:00 AM,1000,1.66246,103.59877,11:05:01 AM,1002,1.65268,103.6102,0.016944444444444446,1
1/12/2018,Saturday,11:05:01 AM,1002,1.65268,103.6102,11:06:01 AM,1003,1.65093,103.61135,0.016666666666666666,1
1/12/2018,Saturday,11:06:01 AM,1003,1.65093,103.61135,11:07:01 AM,1004,1.64837,103.61323,0.016666666666666666,1
1/12/2018,Saturday,11:07:01 AM,1004,1.64837,103.61323,11:12:02 AM,1007,1.63511,103.63069,0.08361111111111111,1
1/12/2018,Saturday,11:12:02 AM,1007,1.63511,103.63069,11:14:03 AM,1009,1.62756,103.63915,0.03361111111111111,1
1/12/2018,Saturday,11:14:03 AM,1009,1.62756,103.63915,11:18:04 AM,1012,1.60099,103.64489,0.06694444444444445,1
1/12/2018,Saturday,11:18:04 AM,1012,1.60099,103.64489,11:19:04 AM,1013,1.59537,103.64579,0.016666666666666666,1
1/12/2018,Saturday,11:19:04 AM,1013,1.59537,103.64579,11:47:11 AM,1036,1.46291,103.76502,0.4686111111111111,1
1/12/2018,Saturday,12:04:00 PM,1037,1.46368,103.76511,12:13:03 PM,1042,1.47537,103.72454,0.15083333333333335,2
1/12/2018,Saturday,12:13:03 PM,1042,1.47537,103.72454,12:15:03 PM,1043,1.48839,103.71338,0.03333333333333333,2
1/12/2018,Saturday,12:15:03 PM,1043,1.48839,103.71338,12:21:04 PM,1046,1.50798,103.68946,0.10027777777777777,2
1/12/2018,Saturday,12:21:04 PM,1046,1.50798,103.68946,12:27:06 PM,1051,1.53631,103.6637,0.10055555555555555,2
1/12/2018,Saturday,12:27:06 PM,1051,1.53631,103.6637,12:28:06 PM,1053,1.54336,103.65799,0.016666666666666666,2
1/12/2018,Saturday,12:28:06 PM,1053,1.54336,103.65799,12:38:08 PM,1057,1.60014,103.64469,0.16722222222222222,2
1/12/2018,Saturday,12:38:08 PM,1057,1.60014,103.64469,12:40:09 PM,1059,1.6125,103.64725,0.03361111111111111,2
1/12/2018,Saturday,12:40:09 PM,1059,1.6125,103.64725,12:42:09 PM,1061,1.62884,103.6377,0.03333333333333333,2
1/12/2018,Saturday,12:42:09 PM,1061,1.62884,103.6377,1:02:00 PM,1071,1.66246,103.59877,0.3308333333333333,2
1/12/2018,Saturday,1:44:10 PM,1000,1.66246,103.59877,1:47:10 PM,1001,1.66155,103.60257,0.05,1
1/12/2018,Saturday,1:47:10 PM,1001,1.66155,103.60257,1:48:11 PM,1004,1.64961,103.61234,0.016944444444444446,1
1/12/2018,Saturday,1:48:11 PM,1004,1.64961,103.61234,1:52:12 PM,1018,1.54568,103.65734,0.06694444444444445,1
1/12/2018,Saturday,1:52:12 PM,1018,1.54568,103.65734,2:05:01 PM,1022,1.5238,103.67872,0.2136111111111111,1
1/12/2018,Saturday,2:05:01 PM,1022,1.5238,103.67872,2:41:09 PM,1036,1.46291,103.76502,0.6022222222222222,1
1/12/2018,Saturday,2:54:12 PM,1037,1.46368,103.76511,3:04:00 PM,1042,1.47297,103.72512,0.16333333333333333,2
1/12/2018,Saturday,3:04:00 PM,1042,1.47297,103.72512,3:09:02 PM,1045,1.49773,103.69997,0.08388888888888889,2
1/12/2018,Saturday,3:09:02 PM,1045,1.49773,103.69997,3:12:02 PM,1046,1.50847,103.68906,0.05,2
1/12/2018,Saturday,3:12:02 PM,1046,1.50847,103.68906,3:15:03 PM,1048,1.5224,103.67959,0.050277777777777775,2
1/12/2018,Saturday,3:15:03 PM,1048,1.5224,103.67959,3:19:04 PM,1051,1.53631,103.6637,0.06694444444444445,2
1/12/2018,Saturday,3:19:04 PM,1051,1.53631,103.6637,3:21:04 PM,1053,1.54567,103.65716,0.03333333333333333,2
1/12/2018,Saturday,3:21:04 PM,1053,1.54567,103.65716,3:34:07 PM,1057,1.60168,103.64505,0.2175,2
1/12/2018,Saturday,3:34:07 PM,1057,1.60168,103.64505,4:46:10 PM,1071,1.66299,103.5993,0.40166666666666667,2
1/12/2018,Saturday,4:46:10 PM,1000,1.66299,103.5993,4:47:11 PM,1001,1.66155,103.60257,0.016944444444444446,1
1/12/2018,Saturday,4:47:11 PM,1001,1.66155,103.60257,4:51:11 PM,1003,1.65196,103.61057,0.06666666666666667,1
1/12/2018,Saturday,4:51:11 PM,1003,1.65196,103.61057,4:52:12 PM,1004,1.64961,103.61234,0.016944444444444446,1
1/12/2018,Saturday,4:52:12 PM,1004,1.64961,103.61234,4:55:12 PM,1006,1.63998,103.62432,0.05,1
1/12/2018,Saturday,4:55:12 PM,1006,1.63998,103.62432,4:59:13 PM,1008,1.63184,103.63454,0.06694444444444445,1
1/12/2018,Saturday,4:59:13 PM,1008,1.63184,103.63454,5:14:03 PM,1012,1.60172,103.64516,0.24722222222222223,1
1/12/2018,Saturday,5:14:03 PM,1012,1.60172,103.64516,5:40:09 PM,1021,1.52768,103.67181,0.435,1
1/12/2018,Saturday,5:40:09 PM,1021,1.52768,103.67181,5:46:10 PM,1022,1.52329,103.67911,0.10027777777777777,1
1/12/2018,Saturday,5:46:10 PM,1022,1.52329,103.67911,5:47:11 PM,1023,1.51888,103.68223,0.016944444444444446,1
1/12/2018,Saturday,5:47:11 PM,1023,1.51888,103.68223,6:01:00 PM,1029,1.48874,103.71313,0.23027777777777778,1
1/12/2018,Saturday,6:01:00 PM,1029,1.48874,103.71313,6:04:00 PM,1030,1.4758,103.72457,0.05,1
1/12/2018,Saturday,6:04:00 PM,1030,1.4758,103.72457,6:06:01 PM,1031,1.46267,103.73198,0.03361111111111111,1
1/12/2018,Saturday,6:06:01 PM,1031,1.46267,103.73198,6:10:02 PM,1035,1.45536,103.76162,0.06694444444444445,1
1/12/2018,Saturday,6:10:02 PM,1035,1.45536,103.76162,6:32:07 PM,1036,1.46264,103.76566,0.11722222222222223,1
1/12/2018,Saturday,6:32:07 PM,1037,1.46264,103.76566,6:40:09 PM,1041,1.46208,103.73239,0.1338888888888889,2
1/12/2018,Saturday,6:40:09 PM,1041,1.46208,103.73239,6:43:10 PM,1043,1.48928,103.71211,0.050277777777777775,2
1/12/2018,Saturday,6:43:10 PM,1043,1.48928,103.71211,6:47:11 PM,1044,1.49371,103.70549,0.06694444444444445,2
1/12/2018,Saturday,6:47:11 PM,1044,1.49371,103.70549,6:48:11 PM,1046,1.50798,103.68946,0.016666666666666666,2
1/12/2018,Saturday,6:48:11 PM,1046,1.50798,103.68946,6:52:12 PM,1048,1.52346,103.67885,0.06694444444444445,2
1/12/2018,Saturday,6:52:12 PM,1048,1.52346,103.67885,6:56:13 PM,1051,1.53631,103.6637,0.06694444444444445,2
1/12/2018,Saturday,6:56:13 PM,1051,1.53631,103.6637,6:57:13 PM,1052,1.53976,103.66047,0.016666666666666666,2
1/12/2018,Saturday,6:57:13 PM,1052,1.53976,103.66047,6:58:13 PM,1053,1.5448,103.65738,0.016666666666666666,2
1/12/2018,Saturday,6:58:13 PM,1053,1.5448,103.65738,7:02:00 PM,1057,1.60168,103.64505,0.06305555555555556,2
1/12/2018,Saturday,7:02:00 PM,1057,1.60168,103.64505,8:19:01 AM,1071,1.66299,103.5993,0.5186111111111111,2
2/12/2018,Sunday,8:19:01 AM,1000,1.66299,103.5993,8:20:01 AM,1001,1.66155,103.60257,0.016666666666666666,1
2/12/2018,Sunday,8:20:01 AM,1001,1.66155,103.60257,8:24:02 AM,1002,1.65268,103.6102,0.06694444444444445,1
2/12/2018,Sunday,8:24:02 AM,1002,1.65268,103.6102,8:25:02 AM,1003,1.64982,103.61218,0.016666666666666666,1
2/12/2018,Sunday,8:25:02 AM,1003,1.64982,103.61218,8:29:02 AM,1006,1.63998,103.62432,0.06666666666666667,1
2/12/2018,Sunday,8:29:02 AM,1006,1.63998,103.62432,8:34:03 AM,1009,1.62797,103.63869,0.08361111111111111,1
2/12/2018,Sunday,8:34:03 AM,1009,1.62797,103.63869,8:40:03 AM,1012,1.60099,103.64489,0.1,1
2/12/2018,Sunday,8:40:03 AM,1012,1.60099,103.64489,8:41:03 AM,1013,1.59752,103.64553,0.016666666666666666,1
2/12/2018,Sunday,8:41:03 AM,1013,1.59752,103.64553,8:50:04 AM,1021,1.5284,103.67051,0.1502777777777778,1
2/12/2018,Sunday,8:50:04 AM,1021,1.5284,103.67051,9:29:02 AM,1036,1.46264,103.76566,0.3988888888888889,1
2/12/2018,Sunday,9:29:02 AM,1037,1.46264,103.76566,9:46:04 AM,1048,1.5224,103.67959,0.2838888888888889,2
2/12/2018,Sunday,9:46:04 AM,1048,1.5224,103.67959,9:50:04 AM,1052,1.53976,103.66047,0.06666666666666667,2
2/12/2018,Sunday,9:50:04 AM,1052,1.53976,103.66047,9:58:05 AM,1057,1.60032,103.64469,0.13361111111111112,2
2/12/2018,Sunday,9:58:05 AM,1057,1.60032,103.64469,10:00:00 AM,1059,1.61283,103.64722,0.03194444444444444,2
2/12/2018,Sunday,10:00:00 AM,1059,1.61283,103.64722,10:05:00 AM,1062,1.63145,103.63483,0.08333333333333333,2
2/12/2018,Sunday,10:05:00 AM,1062,1.63145,103.63483,11:02:00 AM,1071,1.66299,103.5993,0.2836111111111111,2
2/12/2018,Sunday,11:02:00 AM,1000,1.66299,103.5993,11:03:00 AM,1001,1.66059,103.60491,0.016666666666666666,1
2/12/2018,Sunday,11:03:00 AM,1001,1.66059,103.60491,11:05:00 AM,1002,1.65305,103.61006,0.03333333333333333,1
2/12/2018,Sunday,11:05:00 AM,1002,1.65305,103.61006,11:06:00 AM,1003,1.65093,103.61135,0.016666666666666666,1
2/12/2018,Sunday,11:06:00 AM,1003,1.65093,103.61135,11:07:00 AM,1004,1.64837,103.61323,0.016666666666666666,1
2/12/2018,Sunday,11:07:00 AM,1004,1.64837,103.61323,11:09:00 AM,1006,1.64063,103.62349,0.03333333333333333,1
2/12/2018,Sunday,11:09:00 AM,1006,1.64063,103.62349,11:12:01 AM,1007,1.63511,103.63069,0.050277777777777775,1
2/12/2018,Sunday,11:12:01 AM,1007,1.63511,103.63069,11:19:01 AM,1012,1.60099,103.64489,0.11666666666666667,1
2/12/2018,Sunday,11:19:01 AM,1012,1.60099,103.64489,11:22:01 AM,1013,1.59827,103.64558,0.05,1
2/12/2018,Sunday,11:22:01 AM,1013,1.59827,103.64558,11:30:02 AM,1029,1.49038,103.71075,0.13361111111111112,1
2/12/2018,Sunday,11:30:02 AM,1029,1.49038,103.71075,12:23:02 PM,1036,1.46264,103.76566,0.4008333333333333,1
2/12/2018,Sunday,12:23:02 PM,1037,1.46264,103.76566,12:29:02 PM,1041,1.46208,103.73239,0.1,2
2/12/2018,Sunday,12:29:02 PM,1041,1.46208,103.73239,12:37:03 PM,1045,1.49773,103.69997,0.13361111111111112,2
2/12/2018,Sunday,12:37:03 PM,1045,1.49773,103.69997,12:40:03 PM,1046,1.50798,103.68946,0.05,2
2/12/2018,Sunday,12:40:03 PM,1046,1.50798,103.68946,12:45:03 PM,1049,1.52762,103.67164,0.08333333333333333,2
2/12/2018,Sunday,12:45:03 PM,1049,1.52762,103.67164,12:46:04 PM,1051,1.53757,103.66255,0.016944444444444446,2
