Vehicle_No,Date,Time,Location,Lat,Lng,Speed,Vehicle_Status,GPS,Distance-KM,Vehicle_Batt.-V,Route,Nearest_Stop,Distance-BS
BJM9017,1/12/2018,8:09:02 AM,"30 B, Jalan Besar, Felda Taib Andak, Kulai",1.66176,103.60205,42.6,Ignition on; Moving; ,GOOD,0.73,26.55,1,1001,0.16007796720996378
BJM9017,1/12/2018,8:10:02 AM,"PTB 1306 & PTB 1307, Jalan Tun Mutahir 1,Jalan Besar, Kulai, Johor,",1.66299,103.5993,0,Ignition on; Idling; ,GOOD,0.23,25.14,1,1000,0.08912852924087943
BJM9017,1/12/2018,8:11:02 AM,"PTB 1306 & PTB 1307, Jalan Tun Mutahir 1,Jalan Besar, Kulai, Johor,",1.66299,103.5993,0,Ignition on; Idling; ,GOOD,0,24.62,1,1000,0.08912852924087943
BJM9017,1/12/2018,8:12:02 AM,"PTB 1306 & PTB 1307, Jalan Tun Mutahir 1,Jalan Besar, Kulai, Johor,",1.66299,103.5993,0,Ignition on; Idling; ,GOOD,0,24.49,1,1000,0.08912852924087943
BJM9017,1/12/2018,8:13:03 AM,"4, Jalan Besar, Taman Kulai, Kulai, Johor",1.66113,103.60413,11.11,Ignition on; Moving; ,GOOD,0.12,26.43,1,1001,0.0819860930707263
BJM9017,1/12/2018,8:16:03 AM,"G56, Jalan Tan Yoke Fong, Taman Seraya, Kulai, Johor",1.66254,103.60006,44.45,Ignition on; Moving; ,GOOD,0,26.3,1,1000,0.16146461771271417
BJM9017,1/12/2018,8:16:03 AM,"G56, Jalan Tan Yoke Fong, Taman Seraya, Kulai, Johor",1.66254,103.60006,44.45,Ignition on; Moving; ,GOOD,0,26.3,1,1000,0.16146461771271417
BJM9017,1/12/2018,8:17:03 AM,"34, Jalan Susur Kulai 2, Kulai Besar, Kulai, Johor",1.65093,103.61135,44.45,Ignition on; Moving; ,GOOD,0.73,26.68,1,1003,0.014871806133790338
BJM9017,1/12/2018,8:18:04 AM,"689, Jalan Susur Kulai 1, Taman Sri Kulai Baru, Kulai, Johor",1.64534,103.61631,44.45,Ignition on; Moving; ,GOOD,0.79,26.3,1,1005,0.0254825117818456
BJM9017,1/12/2018,8:19:04 AM,"31, Jalan Seri Putra 1, Bandar Putra, Kulai, Johor",1.64063,103.62349,59.26,Ignition on; Moving; ,GOOD,0.83,26.3,1,1006,0.16646081935333176
BJM9017,1/12/2018,8:21:04 AM,"28, Jalan Cermai 1, Taman Mesra, Saleng Senai,, Johor Bahru, Johor,",1.63528,103.63046,7.41,Ignition on; Moving; ,GOOD,0.55,26.17,1,1007,0.08474627071126414
BJM9017,1/12/2018,8:22:05 AM,"1, Kulai, Johor",1.66272,103.59971,0,Ignition on; Idling; ,GOOD,0.46,25.39,1,1000,0.12340165535459756
BJM9017,1/12/2018,8:23:05 AM,"132-G,jalan selangat 2,taman saleng jaya, Lebuhraya Senai, Taman Selang Jaya, Senai, Johor",1.62918,103.63746,59.26,Ignition on; Moving; ,GOOD,0.57,26.43,1,1009,0.13601334377805402
BJM9017,1/12/2018,8:24:05 AM,"1, Senai, Johor",1.60172,103.64516,66.67,Ignition on; Moving; ,GOOD,1.07,26.3,1,1012,0.0720628913405611
BJM9017,1/12/2018,8:25:05 AM,"No. 131-B, Jalan Senai Utama 5/17, Taman Senai Utama, Johor, Senai",1.61301,103.64733,62.97,Ignition on; Moving; ,GOOD,1.03,26.43,1,1011,0.09582119237039391
BJM9017,1/12/2018,8:27:06 AM,"44-42, Lorong 2, Taman Bahagia, Senai, Johor",1.60237,103.64555,40.74,Ignition on; Moving; ,GOOD,0.76,26.55,1,1012,0.15477300107854697
BJM9017,1/12/2018,8:28:06 AM,"No 176-B, Jalan Belimbing 1, Johor, Senai",1.60099,103.64489,0,Ignition on; Idling; ,GOOD,0.31,25.39,1,1012,0.016431370593949182
BJM9017,1/12/2018,8:31:07 AM,"1, Senai, Johor",1.60172,103.64516,74.08,Ignition on; Moving; ,GOOD,1.1,26.17,1,1012,0.0720628913405611
BJM9017,1/12/2018,8:32:07 AM,"1, Senai, Johor",1.60172,103.64516,77.78,Ignition on; Moving; ,GOOD,1.29,26.43,1,1012,0.0720628913405611
BJM9017,1/12/2018,8:35:08 AM,"2, Jalan Jaya 1, Taman Jaya, Skudai, Johor",1.54344,103.65812,35.19,Ignition on; Moving; ,GOOD,0.43,26.43,1,1018,0.15029722155927772
BJM9017,1/12/2018,8:38:08 AM,"8, Jalan Bertingkat Skudai, Taman Sri Putri, Johor Bahru, Johor",1.5284,103.67051,0,Ignition on; Idling; ,GOOD,0.65,24.75,1,1021,0.028467717952324195
BJM9017,1/12/2018,8:40:09 AM,"Bus Stop Jalan Skudai, Jalan Bertingkat Skudai, Johor Bahru, Johor",1.52329,103.67911,22.22,Ignition on; Moving; ,GOOD,0.59,26.43,1,1022,0.12522925148709826
BJM9017,1/12/2018,8:41:09 AM,"85, Jalan Skudai Kiri, Batu 4 1/2, Tampoi,, Johor Bahru, Johor,",1.48874,103.71313,64.82,Ignition on; Moving; ,GOOD,0.9,26.43,1,1029,0.16249850457492115
BJM9017,1/12/2018,8:43:10 AM,"1, Jalan Camah, Taman Johor, Johor Bahru, Johor",1.50763,103.68991,42.6,Ignition on; Moving; ,GOOD,0.41,26.43,1,1025,0.1289474353563863
BJM9017,1/12/2018,8:46:10 AM,"62, Jalan PADI 1, Bandar Baru Uda, Johor Bahru, Johor,",1.48988,103.71159,42.6,Ignition on; Moving; ,GOOD,1.21,26.3,1,1029,0.05150427880291188
BJM9017,1/12/2018,8:57:13 AM,"JALAN TUN ABDUL RAZAK, Johor Bahru, Johor Bahru, Johor",1.46291,103.76502,31.48,Ignition on; Moving; ,GOOD,0.5,25.91,1,1036,0.05535664408437846
BJM9017,1/12/2018,8:59:13 AM,"JB Sentral, Jalan Tun Abdul Razak, Bandar Johor Bahru, Johor Bahru, Johor",1.46291,103.76502,0,Ignition on; Idling; ,GOOD,0.04,24.49,1,1036,0.05535664408437846
BJM9017,1/12/2018,9:20:04 AM,"JB Sentral, Jalan Tun Abdul Razak, Bandar Johor Bahru, Johor Bahru, Johor",1.4628,103.76509,0,Ignition on; Idling; ,GOOD,0,23.72,2,1037,0.06898995335417317
BJM9017,1/12/2018,9:29:06 AM,"Danga Bay Convention Centre, Lebuhraya Sultan Iskandar, Danga Bay, Johor Bahru, Johor",1.47537,103.72454,61.12,Ignition on; Moving; ,GOOD,0.92,26.17,2,1042,0.18778408866998875
BJM9017,1/12/2018,9:31:07 AM,"1158, Jalan Bertingkat Skudai, Bandar Baru Uda, Johor Bahru, Johor",1.48839,103.71338,57.41,Ignition on; Moving; ,GOOD,0.96,26.3,2,1043,0.11453575526202793
BJM9017,1/12/2018,9:32:07 AM,"197;;199, Jalan Bertingkat Skudai, Skudai Kiri, Johor Bahru, Johor",1.46208,103.73239,42.6,Ignition on; Moving; ,GOOD,0.39,26.3,2,1041,0.17864176997036382
BJM9017,1/12/2018,9:33:07 AM,"6, Jalan Mata Kucing, Kampung Pasir, Johor Bahru, Johor",1.49608,103.70214,64.82,Ignition on; Moving; ,GOOD,1.1,26.04,2,1045,0.12432437040404747
