bus_stop_code,current_time,duration,hour,round,day,minute,time
0100001001,09:43:10,180,9,0,5,43,9
0100101003,09:46:10,241,9,0,5,46,9
0100301004,09:50:11,121,9,0,5,50,9
0100401006,09:52:12,241,9,0,5,52,9
0100601007,09:56:13,120,9,0,5,56,9
0100701012,09:58:13,709,9,0,5,58,9
0101201018,10:10:02,181,10,0,5,10,10
0101801019,10:13:03,120,10,0,5,13,10
0101901021,10:15:03,121,10,0,5,15,10
0102101022,10:17:04,120,10,0,5,17,10
0102201025,10:19:04,181,10,0,5,19,10
0102501028,10:22:05,181,10,0,5,22,10
0102801030,10:25:06,301,10,0,5,25,10
0103001035,10:30:07,301,10,0,5,30,10
0103501036,10:35:08,241,10,0,5,35,10
0103701045,11:07:16,783,11,0,5,7,11
0104501046,11:20:19,181,11,0,5,20,12
0104601049,11:23:20,241,11,0,5,23,12
0104901050,11:27:21,60,11,0,5,27,12
0105001052,11:28:21,121,11,0,5,28,12
0105201057,11:30:22,663,11,0,5,30,12
0105701059,11:41:25,60,11,0,5,41,13
0105901071,11:42:25,1295,11,0,5,42,13
0100001001,12:48:11,121,12,0,5,48,15
0100101002,12:50:12,180,12,0,5,50,15
0100201003,12:53:12,61,12,0,5,53,15
0100301004,12:54:13,60,12,0,5,54,15
0100401005,12:55:13,60,12,0,5,55,15
0100501006,12:56:13,121,12,0,5,56,15
0100601007,12:58:14,106,12,0,5,58,15
0100701009,13:00:00,120,13,0,5,0,15
0100901012,13:02:00,603,13,0,5,2,15
0101201018,13:12:03,120,13,0,5,12,16
0101801019,13:14:03,121,13,0,5,14,16
0101901023,13:16:04,301,13,0,5,16,16
0102301026,13:21:05,60,13,0,5,21,16
0102601027,13:22:05,60,13,0,5,22,16
0102701036,13:23:05,1145,13,0,5,23,16
0103701042,14:10:02,422,14,0,5,10,18
0104201043,14:17:04,180,14,0,5,17,18
0104301045,14:20:04,121,14,0,5,20,18
0104501046,14:22:05,301,14,0,5,22,18
0104601051,14:27:06,301,14,0,5,27,18
0105101052,14:32:07,181,14,0,5,32,18
0105201053,14:35:08,121,14,0,5,35,18
0105301057,14:37:09,180,14,0,5,37,18
0105701071,14:40:09,1733,14,0,5,40,19
0100101002,15:48:11,121,15,0,5,48,21
0100201003,15:50:12,60,15,0,5,50,21
0100301005,15:51:12,60,15,0,5,51,21
0100501006,15:52:12,121,15,0,5,52,21
0100601012,15:54:13,1009,15,0,5,54,21
0101201036,16:11:02,3359,16,0,5,11,22
0103701040,17:08:01,1928,17,0,5,8,23
0104001053,17:40:09,241,17,0,5,40,25
0105301057,17:44:10,2033,17,0,5,44,25
0105701059,18:18:04,181,18,0,5,18,26
0105901061,18:21:05,181,18,0,5,21,26
0106101062,18:24:06,60,18,0,5,24,26
0106201063,18:25:06,60,18,0,5,25,26
0106301064,18:26:06,181,18,0,5,26,26
0106401065,18:29:07,180,18,0,5,29,26
0106501067,18:32:07,61,18,0,5,32,26
0106701068,18:33:08,180,18,0,5,33,26
0106801069,18:36:08,61,18,0,5,36,26
0106901071,18:37:09,361,18,0,5,37,26
0100001003,18:48:11,710,18,0,5,48,27
0100301004,19:00:01,60,19,0,5,0,27
0100401018,19:01:01,1205,19,0,5,1,27
0101801019,19:21:06,118,19,0,5,21,28
0101901021,19:23:05,363,19,0,5,23,28
0102101023,19:29:08,60,19,0,5,29,28
0102301027,19:30:08,541,19,0,5,30,28
0102701028,19:39:09,62,19,0,5,39,28
0102801031,19:40:11,420,19,0,5,40,29
0103101035,19:47:11,182,19,0,5,47,29
0103501036,19:50:13,302,19,0,5,50,29
0103701042,20:13:03,482,20,0,5,13,30
0104201043,20:21:05,180,20,0,5,21,30
0104301045,20:24:05,121,20,0,5,24,30
0104501046,20:26:06,301,20,0,5,26,30
0104601048,20:31:07,241,20,0,5,31,30
0104801050,20:35:08,181,20,0,5,35,30
0105001052,20:38:09,60,20,0,5,38,30
0105201053,20:39:09,60,20,0,5,39,30
0105301057,20:40:09,482,20,0,5,40,31
0105701059,20:48:11,181,20,0,5,48,31
0105901061,20:51:12,121,20,0,5,51,31
0106101062,20:53:13,60,20,0,5,53,31
0106201071,20:54:13,768,20,0,5,54,31
0100001001,09:42:03,120,9,0,6,42,9
0100101002,09:44:03,181,9,0,6,44,9
0100201003,09:47:04,60,9,0,6,47,9
0100301006,09:48:04,300,9,0,6,48,9
0100601007,09:53:04,120,9,0,6,53,9
0100701009,09:55:04,181,9,0,6,55,9
0100901012,09:58:05,775,9,0,6,58,9
0101201021,10:11:00,421,10,0,6,11,10
0102101023,10:18:01,60,10,0,6,18,10
0102301025,10:19:01,241,10,0,6,19,10
0102501028,10:23:02,240,10,0,6,23,10
0102801029,10:27:02,120,10,0,6,27,10
0102901036,10:29:02,1443,10,0,6,29,10
0103701042,10:56:04,475,10,0,6,56,11
0104201043,11:04:00,180,11,0,6,4,11
0104301046,11:07:00,361,11,0,6,7,11
0104601048,11:13:01,180,11,0,6,13,12
0104801050,11:16:01,180,11,0,6,16,12
0105001052,11:19:01,120,11,0,6,19,12
0105201057,11:21:01,601,11,0,6,21,12
0105701059,11:31:02,120,11,0,6,31,12
0105901071,11:33:02,1082,11,0,6,33,12
0100001001,12:43:03,120,12,0,6,43,15
0100101002,12:45:03,301,12,0,6,45,15
0100201003,12:50:04,60,12,0,6,50,15
0100301006,12:51:04,596,12,0,6,51,15
0100601012,13:01:00,661,13,0,6,1,15
0101201021,13:12:01,540,13,0,6,12,16
0102101025,13:21:01,541,13,0,6,21,16
0102501027,13:30:02,120,13,0,6,30,16
0102701028,13:32:02,60,13,0,6,32,16
0102801033,13:33:02,421,13,0,6,33,16
0103301035,13:40:03,180,13,0,6,40,17
0103501036,13:43:03,361,13,0,6,43,17
0103701038,14:07:00,240,14,0,6,7,17
0103801042,14:11:00,361,14,0,6,11,18
0104201046,14:17:01,661,14,0,6,17,18
0104601048,14:28:02,180,14,0,6,28,18
0104801051,14:31:02,120,14,0,6,31,18
0105101053,14:33:02,241,14,0,6,33,18
0105301057,14:37:03,180,14,0,6,37,18
0105701071,14:40:03,1677,14,0,6,40,19
0100001001,15:58:05,235,15,0,6,58,21
0100101002,16:02:00,180,16,0,6,2,21
0100201003,16:05:00,60,16,0,6,5,21
0100301004,16:06:00,60,16,0,6,6,21
0100401005,16:07:00,60,16,0,6,7,21
0100501006,16:08:00,120,16,0,6,8,21
0100601007,16:10:00,121,16,0,6,10,21
0100701008,16:12:01,120,16,0,6,12,22
0100801011,16:14:01,240,16,0,6,14,22
0101101012,16:18:01,120,16,0,6,18,22
0101201013,16:20:01,60,16,0,6,20,22
0101301018,16:21:01,301,16,0,6,21,22
0101801020,16:26:02,300,16,0,6,26,22
0102001021,16:31:02,301,16,0,6,31,22
0102101022,16:36:03,240,16,0,6,36,22
0102201025,16:40:03,240,16,0,6,40,23
0102501027,16:44:03,181,16,0,6,44,23
0102701028,16:47:04,60,16,0,6,47,23
0102801029,16:48:04,180,16,0,6,48,23
0102901036,16:51:04,3300,16,0,6,51,23
0103701043,17:56:04,121,17,0,6,56,25
0104301045,17:58:05,175,17,0,6,58,25
0104501046,18:01:00,299,18,0,6,1,25
0104601053,18:05:59,422,18,0,6,5,25
0105301057,18:13:01,479,18,0,6,13,26
0105701059,18:21:00,122,18,0,6,21,26
0105901071,18:23:02,1020,18,0,6,23,26
0100001001,18:58:05,355,18,0,6,58,27
0100101002,19:04:00,240,19,0,6,4,27
0100201003,19:08:00,60,19,0,6,8,27
0100301004,19:09:00,60,19,0,6,9,27
0100401006,19:10:00,181,19,0,6,10,27
0100601007,19:13:01,60,19,0,6,13,28
0100701012,19:14:01,661,19,0,6,14,28
0101201018,19:25:02,120,19,0,6,25,28
0101801036,19:27:02,2038,19,0,6,27,28
0103701041,20:20:01,361,20,0,6,20,30
0104101053,20:26:02,180,20,0,6,26,30
0105301071,20:29:02,2518,20,0,6,29,30
0100001001,07:25:11,121,7,0,0,25,4
0100101002,07:27:12,180,7,0,0,27,4
