bus_stop_code,current_time,duration,hour,round,day,minute,time
0100001001,09:43:10,180,9,0,5,43,9
0100101003,09:46:10,241,9,0,5,46,9
0100301004,09:50:11,121,9,0,5,50,9
0100401006,09:52:12,241,9,0,5,52,9
0100601007,09:56:13,120,9,0,5,56,9
0100701012,09:58:13,709,9,0,5,58,9
0101201018,10:10:02,181,10,0,5,10,10
0101801019,10:13:03,120,10,0,5,13,10
0101901021,10:15:03,121,10,0,5,15,10
0102101022,10:17:04,120,10,0,5,17,10
0102201025,10:19:04,181,10,0,5,19,10
0102501028,10:22:05,181,10,0,5,22,10
0102801030,10:25:06,301,10,0,5,25,10
0103001035,10:30:07,301,10,0,5,30,10
0103501036,10:35:08,241,10,0,5,35,10
0103701045,11:07:16,783,11,0,5,7,11
0104501046,11:20:19,181,11,0,5,20,12
0104601049,11:23:20,241,11,0,5,23,12
0104901050,11:27:21,60,11,0,5,27,12
0105001052,11:28:21,121,11,0,5,28,12
0105201057,11:30:22,663,11,0,5,30,12
0105701059,11:41:25,60,11,0,5,41,13
0105901071,11:42:25,1295,11,0,5,42,13
0100001001,12:48:11,121,12,0,5,48,15
0100101002,12:50:12,180,12,0,5,50,15
0100201003,12:53:12,61,12,0,5,53,15
0100301004,12:54:13,60,12,0,5,54,15
0100401005,12:55:13,60,12,0,5,55,15
0100501006,12:56:13,121,12,0,5,56,15
0100601007,12:58:14,106,12,0,5,58,15
0100701009,13:00:00,120,13,0,5,0,15
0100901012,13:02:00,603,13,0,5,2,15
0101201018,13:12:03,120,13,0,5,12,16
0101801019,13:14:03,121,13,0,5,14,16
0101901023,13:16:04,301,13,0,5,16,16
0102301026,13:21:05,60,13,0,5,21,16
0102601027,13:22:05,60,13,0,5,22,16
0102701036,13:23:05,964,13,0,5,23,16
