Vehicle_No,Date,Time,Location,Lat,Lng,Speed,Vehicle_Status,GPS,Distance-KM,Vehicle_Batt.-V,Route,Nearest_Stop,Distance-BS
BJA8742,1/12/2018,9:43:10 AM,"Terminal Bas Kulai, Taman Kulai, Kulai, Johor",1.66246,103.59877,16.67,Ignition on; Moving; ,GOOD,0.37,27.2,1,1000,0.0227466093740802
BJA8742,1/12/2018,9:45:10 AM,"PTB 1306 & PTB 1307, Jalan Tun Mutahir 1,Jalan Besar, Kulai, Johor,",1.6613,103.60363,0,Ignition on; Idling; ,GOOD,0.12,27.33,1,1001,0.0236046539835899
BJA8742,1/12/2018,9:46:10 AM,"PTB 1306 & PTB 1307, Jalan Tun Mutahir 1,Jalan Besar, Kulai, Johor,",1.6613,103.60363,9.26,Ignition on; Moving; ,GOOD,0,27.33,1,1001,0.0236046539835899
BJA8742,1/12/2018,9:50:11 AM,"No. 25-11, Jalan Susur Kulai 1, Johor, Kulai",1.65196,103.61057,22.22,Ignition on; Moving; ,GOOD,0.49,27.33,1,1003,0.15629827531678087
BJA8742,1/12/2018,9:51:12 AM,"7, Jalan Susur Kulai 1, Taman Sri Kulai Baru, Kulai, Johor",1.65268,103.6102,16.67,Ignition on; Moving; ,GOOD,0.16,26.81,1,1002,0.17734888655039877
BJA8742,1/12/2018,9:52:12 AM,"No. 2, Jalan Susur 4, Taman Sri Kulai Baru, Kulai, Johor,",1.64961,103.61234,27.78,Ignition on; Moving; ,GOOD,0.42,27.46,1,1004,0.1536792244973873
BJA8742,1/12/2018,9:53:12 AM,"1, Jalan Besar, Taman Kulai Utama, Kulai, Johor",1.64043,103.62374,33.34,Ignition on; Moving; ,GOOD,0.63,27.33,1,1006,0.13101766037081725
BJA8742,1/12/2018,9:54:12 AM,"No. 25-1, Jalan Susur Kulai 1, Johor, Kulai",1.65518,103.60936,0,Ignition on; Idling; ,GOOD,0.12,26.68,1,1002,0.11599198610264787
BJA8742,1/12/2018,9:56:13 AM,"9, Jalan Sri Putra 1, Bandar Putra Kulai, Kulai,, Kulai, Johor,",1.63998,103.62432,20.37,Ignition on; Moving; ,GOOD,0.56,27.07,1,1006,0.05023828873969606
BJA8742,1/12/2018,9:58:13 AM,"10, Jalan Cermai 1, Taman Mesra, Kulai, Johor",1.63553,103.63013,37.04,Ignition on; Moving; ,GOOD,0.57,26.81,1,1007,0.03978511786872428
BJA8742,1/12/2018,9:59:14 AM,"1, Kulai, Johor",1.66279,103.59966,24.08,Ignition on; Moving; ,GOOD,0.56,27.46,1,1000,0.11912901975438041
BJA8742,1/12/2018,10:02:00 AM,"1, Senai, Johor",1.60172,103.64516,51.86,Ignition on; Moving; ,GOOD,1.84,27.07,1,1012,0.0720628913405611
BJA8742,1/12/2018,10:03:00 AM,"124, Jalan Senai Utama 5/17, Taman Senai Utama, Senai, Johor",1.61334,103.6473,59.26,Ignition on; Moving; ,GOOD,0.88,27.33,1,1011,0.13244465738513425
BJA8742,1/12/2018,10:04:00 AM,"Lot 4617, Batu 13 Senai HIghway Taman Aman Senai, Johor, Johor Bharu",1.6019,103.64523,51.86,Ignition on; Moving; ,GOOD,0.55,27.33,1,1012,0.09342771047791831
BJA8742,1/12/2018,10:05:01 AM,"12, Lebuhraya Senai, Kampung Baru Senai, Senai, Johor",1.60184,103.64521,42.6,Ignition on; Moving; ,GOOD,0.82,27.2,1,1012,0.08640133665524326
BJA8742,1/12/2018,10:06:01 AM,"No 176-B, Jalan Belimbing 1, Johor, Senai",1.60001,103.64481,0,Ignition on; Idling; ,GOOD,0.21,27.33,1,1012,0.12218587156882281
BJA8742,1/12/2018,10:08:01 AM,"1, Senai, Johor",1.60172,103.64516,72.23,Ignition on; Moving; ,GOOD,0.96,27.2,1,1012,0.0720628913405611
BJA8742,1/12/2018,10:09:02 AM,"1, Senai, Johor",1.60172,103.64516,75.93,Ignition on; Moving; ,GOOD,1.16,27.07,1,1012,0.0720628913405611
BJA8742,1/12/2018,10:10:02 AM,"1, Senai, Johor",1.60172,103.64516,81.49,Ignition on; Moving; ,GOOD,1.4,27.33,1,1012,0.0720628913405611
